index,prediction
0,567.0 gram
1,10.0 gram
2,10.0 gram
3,10.0 gram
4,10.0 gram
5,10.0 gram
6,10.0 gram
7,339.0 gram
8,100 gram
9,100 gram
10,1.0 kilogram
11,100 gram
12,100 gram
13,100 gram
14,100 gram
15,100 gram
16,100 gram
17,1.0 kilogram
18,1.0 kilogram
19,1.0 kilogram
20,100 gram
21,100 gram
22,2.0 gram
23,3.0 gram
24,3.0 gram
25,100 gram
26,100 gram
27,100 gram
28,20.0 gram
29,250 gram
30,20.0 gram
31,100.0 gram
32,20.0 gram
33,20.0 gram
34,20.0 gram
35,3 gram
36,200 gram
37,50 gram
38,50 gram
39,100 gram
40,100 gram
41,10.0 gram
42,100 gram
43,100 gram
44,100 gram
45,100 gram
46,100 gram
47,100 gram
48,10.0 gram
49,10.0 gram
50,10.0 gram
51,100 gram
52,100 gram
53,100 gram
54,100 gram
55,"[220.0, 240.0] volt"
56,63 gram
57,100 gram
58,100 gram
59,1.0 kilogram
60,1.0 kilogram
61,2.0 gram
62,100 gram
63,100 gram
64,100 gram
65,200 gram
66,100 gram
67,50.0 millilitre
68,100 gram
69,100 gram
70,100 gram
71,100.0 gram
72,100.0 gram
73,100.0 gram
74,20.0 gram
75,20.0 gram
76,100 gram
77,100 gram
78,20.0 gram
79,200.0 gram
80,200.0 gram
81,4.0 ounce
82,10.0 kilogram
83,400.0 gram
84,100 gram
85,100 gram
86,100 gram
87,10.0 gram
88,10.0 gram
89,10.0 gram
90,100 gram
91,4.0 ounce
92,150.0 gram
93,100 gram
94,1000.0 milligram
95,250 gram
96,250 gram
97,200 gram
98,20.0 gram
99,1 kilogram
100,200 gram
